Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,040,Austria,5111,Stocks,02123,Goats,2024,2024,An,95810,A,Official value,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02122,Sheep,2024,2024,An,390940,A,Official value,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02140,Swine / pigs,2024,2024,An,2534440,A,Official value,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02111,Cattle,2024,2024,An,2329506,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02123,Goats,2024,2024,An,410000,E,Estimated value,
QCL,Crops and livestock products,031,Azerbaijan,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,14204,E,Estimated value,
QCL,Crops and livestock products,031,Azerbaijan,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,110723,E,Estimated value,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02122,Sheep,2024,2024,An,7041901,E,Estimated value,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02140,Swine / pigs,2024,2024,An,5304,E,Estimated value,
QCL,Crops and livestock products,044,Bahamas,5111,Stocks,02111,Cattle,2024,2024,An,743,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,044,Bahamas,5111,Stocks,02123,Goats,2024,2024,An,15132,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,044,Bahamas,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,118,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,044,Bahamas,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,5162,E,Estimated value,
QCL,Crops and livestock products,044,Bahamas,5111,Stocks,02122,Sheep,2024,2024,An,6590,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,044,Bahamas,5111,Stocks,02140,Swine / pigs,2024,2024,An,5021,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,048,Bahrain,5111,Stocks,02111,Cattle,2024,2024,An,7000,A,Official value,
QCL,Crops and livestock products,048,Bahrain,5111,Stocks,02123,Goats,2024,2024,An,24500,A,Official value,
QCL,Crops and livestock products,048,Bahrain,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,450,A,Official value,
QCL,Crops and livestock products,048,Bahrain,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,9884,A,Official value,
QCL,Crops and livestock products,048,Bahrain,5111,Stocks,02122,Sheep,2024,2024,An,63000,A,Official value,
QCL,Crops and livestock products,050,Bangladesh,5111,Stocks,02111,Cattle,2024,2024,An,25013000,A,Official value,
QCL,Crops and livestock products,050,Bangladesh,5111,Stocks,02123,Goats,2024,2024,An,27117000,A,Official value,
QCL,Crops and livestock products,050,Bangladesh,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,243808,E,Estimated value,
QCL,Crops and livestock products,050,Bangladesh,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,332218,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,050,Bangladesh,5111,Stocks,02122,Sheep,2024,2024,An,3903000,A,Official value,
QCL,Crops and livestock products,052,Barbados,5111,Stocks,02111,Cattle,2024,2024,An,11241,E,Estimated value,
QCL,Crops and livestock products,052,Barbados,5111,Stocks,02123,Goats,2024,2024,An,5655,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,052,Barbados,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,1075,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,052,Barbados,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,9128,E,Estimated value,
QCL,Crops and livestock products,052,Barbados,5111,Stocks,02122,Sheep,2024,2024,An,12718,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,052,Barbados,5111,Stocks,02140,Swine / pigs,2024,2024,An,24725,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,112,Belarus,5111,Stocks,02111,Cattle,2024,2024,An,4097900,A,Official value,
QCL,Crops and livestock products,112,Belarus,5111,Stocks,02123,Goats,2024,2024,An,48000,A,Official value,
QCL,Crops and livestock products,112,Belarus,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,20232,E,Estimated value,
QCL,Crops and livestock products,112,Belarus,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,512300,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,112,Belarus,5111,Stocks,02122,Sheep,2024,2024,An,74000,A,Official value,
QCL,Crops and livestock products,112,Belarus,5111,Stocks,02140,Swine / pigs,2024,2024,An,2197300,A,Official value,
QCL,Crops and livestock products,056,Belgium,5111,Stocks,02111,Cattle,2024,2024,An,2153430,A,Official value,
QCL,Crops and livestock products,056,Belgium,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,309705,A,Official value,
QCL,Crops and livestock products,056,Belgium,5111,Stocks,02140,Swine / pigs,2024,2024,An,5375200,A,Official value,
QCL,Crops and livestock products,084,Belize,5111,Stocks,02111,Cattle,2024,2024,An,99019,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,084,Belize,5111,Stocks,02123,Goats,2024,2024,An,193,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,084,Belize,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,707,E,Estimated value,
QCL,Crops and livestock products,084,Belize,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,13493,A,Official value,
QCL,Crops and livestock products,084,Belize,5111,Stocks,02122,Sheep,2024,2024,An,16798,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,084,Belize,5111,Stocks,02140,Swine / pigs,2024,2024,An,13892,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,204,Benin,5111,Stocks,02111,Cattle,2024,2024,An,2762716,A,Official value,
QCL,Crops and livestock products,204,Benin,5111,Stocks,02123,Goats,2024,2024,An,3839654,A,Official value,
QCL,Crops and livestock products,204,Benin,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,19049,A,Official value,
QCL,Crops and livestock products,204,Benin,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,26339,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,204,Benin,5111,Stocks,02122,Sheep,2024,2024,An,2647421,A,Official value,
QCL,Crops and livestock products,204,Benin,5111,Stocks,02140,Swine / pigs,2024,2024,An,1104012,A,Official value,
QCL,Crops and livestock products,064,Bhutan,5111,Stocks,02111,Cattle,2024,2024,An,257103,A,Official value,
QCL,Crops and livestock products,064,Bhutan,5111,Stocks,02123,Goats,2024,2024,An,55819,A,Official value,
QCL,Crops and livestock products,064,Bhutan,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,755,E,Estimated value,
QCL,Crops and livestock products,064,Bhutan,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,1290,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,064,Bhutan,5111,Stocks,02122,Sheep,2024,2024,An,9176,A,Official value,
QCL,Crops and livestock products,064,Bhutan,5111,Stocks,02140,Swine / pigs,2024,2024,An,34059,A,Official value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5111,Stocks,02111,Cattle,2024,2024,An,11245622,A,Official value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5111,Stocks,02123,Goats,2024,2024,An,2273735,A,Official value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,26778,E,Estimated value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,198237,E,Estimated value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5111,Stocks,02122,Sheep,2024,2024,An,7470438,A,Official value,
QCL,Crops and livestock products,068,Bolivia (Plurinational State of),5111,Stocks,02140,Swine / pigs,2024,2024,An,3143989,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5111,Stocks,02111,Cattle,2024,2024,An,383331,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5111,Stocks,02123,Goats,2024,2024,An,62162,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,3794,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,45823,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5111,Stocks,02122,Sheep,2024,2024,An,1098899,A,Official value,
QCL,Crops and livestock products,070,Bosnia and Herzegovina,5111,Stocks,02140,Swine / pigs,2024,2024,An,447474,A,Official value,
QCL,Crops and livestock products,072,Botswana,5111,Stocks,02111,Cattle,2024,2024,An,918057,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,072,Botswana,5111,Stocks,02123,Goats,2024,2024,An,1205792,E,Estimated value,
QCL,Crops and livestock products,072,Botswana,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,696,E,Estimated value,
QCL,Crops and livestock products,072,Botswana,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,2312,E,Estimated value,
QCL,Crops and livestock products,072,Botswana,5111,Stocks,02122,Sheep,2024,2024,An,148744,E,Estimated value,
QCL,Crops and livestock products,072,Botswana,5111,Stocks,02140,Swine / pigs,2024,2024,An,7083,E,Estimated value,
QCL,Crops and livestock products,076,Brazil,5111,Stocks,02111,Cattle,2024,2024,An,238180757,A,Official value,
QCL,Crops and livestock products,076,Brazil,5111,Stocks,02123,Goats,2024,2024,An,13292844,A,Official value,
QCL,Crops and livestock products,076,Brazil,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,277485,A,Official value,
QCL,Crops and livestock products,076,Brazil,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,6488695,A,Official value,
QCL,Crops and livestock products,076,Brazil,5111,Stocks,02122,Sheep,2024,2024,An,21862326,A,Official value,
QCL,Crops and livestock products,076,Brazil,5111,Stocks,02140,Swine / pigs,2024,2024,An,43914785,A,Official value,
QCL,Crops and livestock products,096,Brunei Darussalam,5111,Stocks,02111,Cattle,2024,2024,An,286,A,Official value,
QCL,Crops and livestock products,096,Brunei Darussalam,5111,Stocks,02123,Goats,2024,2024,An,3072,A,Official value,
QCL,Crops and livestock products,096,Brunei Darussalam,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,1050,A,Official value,
QCL,Crops and livestock products,096,Brunei Darussalam,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,19551,A,Official value,
QCL,Crops and livestock products,096,Brunei Darussalam,5111,Stocks,02122,Sheep,2024,2024,An,4356,E,Estimated value,
QCL,Crops and livestock products,096,Brunei Darussalam,5111,Stocks,02140,Swine / pigs,2024,2024,An,553,E,Estimated value,
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,02111,Cattle,2024,2024,An,558770,A,Official value,
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,02123,Goats,2024,2024,An,150000,A,Official value,
QCL,Crops and livestock products,100,Bulgaria,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,53926,A,Official value,
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,02122,Sheep,2024,2024,An,1016700,A,Official value,
QCL,Crops and livestock products,100,Bulgaria,5111,Stocks,02140,Swine / pigs,2024,2024,An,700780,A,Official value,
QCL,Crops and livestock products,854,Burkina Faso,5111,Stocks,02111,Cattle,2024,2024,An,10280515,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,854,Burkina Faso,5111,Stocks,02123,Goats,2024,2024,An,10818808,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,854,Burkina Faso,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,15970,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,854,Burkina Faso,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,153663,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,854,Burkina Faso,5111,Stocks,02122,Sheep,2024,2024,An,11543571,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,854,Burkina Faso,5111,Stocks,02140,Swine / pigs,2024,2024,An,1525188,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,108,Burundi,5111,Stocks,02111,Cattle,2024,2024,An,1228356,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,108,Burundi,5111,Stocks,02123,Goats,2024,2024,An,4523288,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,108,Burundi,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,670,E,Estimated value,
QCL,Crops and livestock products,108,Burundi,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,9724,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,108,Burundi,5111,Stocks,02122,Sheep,2024,2024,An,708094,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,108,Burundi,5111,Stocks,02140,Swine / pigs,2024,2024,An,1540229,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,132,Cabo Verde,5111,Stocks,02111,Cattle,2024,2024,An,29779,A,Official value,
QCL,Crops and livestock products,132,Cabo Verde,5111,Stocks,02123,Goats,2024,2024,An,147123,A,Official value,
QCL,Crops and livestock products,132,Cabo Verde,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,345,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,132,Cabo Verde,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,492,E,Estimated value,
QCL,Crops and livestock products,132,Cabo Verde,5111,Stocks,02122,Sheep,2024,2024,An,19701,A,Official value,
QCL,Crops and livestock products,132,Cabo Verde,5111,Stocks,02140,Swine / pigs,2024,2024,An,73057,A,Official value,
QCL,Crops and livestock products,116,Cambodia,5111,Stocks,02111,Cattle,2024,2024,An,2821807,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,116,Cambodia,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,5030,E,Estimated value,
QCL,Crops and livestock products,116,Cambodia,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,17577,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,116,Cambodia,5111,Stocks,02140,Swine / pigs,2024,2024,An,2014037,E,Estimated value,
QCL,Crops and livestock products,120,Cameroon,5111,Stocks,02111,Cattle,2024,2024,An,5941769,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,120,Cameroon,5111,Stocks,02123,Goats,2024,2024,An,6632453,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,120,Cameroon,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,12907,E,Estimated value,
QCL,Crops and livestock products,120,Cameroon,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,90404,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,120,Cameroon,5111,Stocks,02122,Sheep,2024,2024,An,3551761,E,Estimated value,
QCL,Crops and livestock products,120,Cameroon,5111,Stocks,02140,Swine / pigs,2024,2024,An,2255581,E,Estimated value,
QCL,Crops and livestock products,124,Canada,5111,Stocks,02111,Cattle,2024,2024,An,10985000,A,Official value,
QCL,Crops and livestock products,124,Canada,5111,Stocks,02123,Goats,2024,2024,An,30007,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,124,Canada,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,37074,A,Official value,
QCL,Crops and livestock products,124,Canada,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,806785,A,Official value,
QCL,Crops and livestock products,124,Canada,5111,Stocks,02122,Sheep,2024,2024,An,822000,A,Official value,
QCL,Crops and livestock products,124,Canada,5111,Stocks,02140,Swine / pigs,2024,2024,An,13985000,A,Official value,
QCL,Crops and livestock products,140,Central African Republic,5111,Stocks,02111,Cattle,2024,2024,An,4864952,E,Estimated value,
QCL,Crops and livestock products,140,Central African Republic,5111,Stocks,02123,Goats,2024,2024,An,6193443,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,140,Central African Republic,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,682,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,140,Central African Republic,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,7011,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,140,Central African Republic,5111,Stocks,02122,Sheep,2024,2024,An,452132,E,Estimated value,
QCL,Crops and livestock products,140,Central African Republic,5111,Stocks,02140,Swine / pigs,2024,2024,An,1121182,E,Estimated value,
QCL,Crops and livestock products,148,Chad,5111,Stocks,02111,Cattle,2024,2024,An,39625902,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,148,Chad,5111,Stocks,02123,Goats,2024,2024,An,46494274,E,Estimated value,
QCL,Crops and livestock products,148,Chad,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,1178,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,148,Chad,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,8020,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,148,Chad,5111,Stocks,02122,Sheep,2024,2024,An,45168961,E,Estimated value,
QCL,Crops and livestock products,148,Chad,5111,Stocks,02140,Swine / pigs,2024,2024,An,115004,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,152,Chile,5111,Stocks,02111,Cattle,2024,2024,An,2962490,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,152,Chile,5111,Stocks,02123,Goats,2024,2024,An,418405,E,Estimated value,
QCL,Crops and livestock products,152,Chile,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,12570,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,152,Chile,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,291327,A,Official value,
QCL,Crops and livestock products,152,Chile,5111,Stocks,02122,Sheep,2024,2024,An,1750000,E,Estimated value,
QCL,Crops and livestock products,152,Chile,5111,Stocks,02140,Swine / pigs,2024,2024,An,2777625,A,Official value,
QCL,Crops and livestock products,159,China,5111,Stocks,02111,Cattle,2024,2024,An,70482811,E,Estimated value,
QCL,Crops and livestock products,159,China,5111,Stocks,02123,Goats,2024,2024,An,117676997,A,Official value,
QCL,Crops and livestock products,159,China,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,3401129,E,Estimated value,
QCL,Crops and livestock products,159,China,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,12275429,E,Estimated value,
QCL,Crops and livestock products,159,China,5111,Stocks,02122,Sheep,2024,2024,An,182939178,A,Official value,
QCL,Crops and livestock products,159,China,5111,Stocks,02140,Swine / pigs,2024,2024,An,432649282,A,Official value,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5111,Stocks,02111,Cattle,2024,2024,An,1570,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5111,Stocks,02123,Goats,2024,2024,An,680,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,40,E,Estimated value,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,15573,E,Estimated value,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5111,Stocks,02122,Sheep,2024,2024,An,23,E,Estimated value,
QCL,Crops and livestock products,344,"China, Hong Kong SAR",5111,Stocks,02140,Swine / pigs,2024,2024,An,114358,E,Estimated value,
QCL,Crops and livestock products,446,"China, Macao SAR",5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,109,E,Estimated value,
QCL,Crops and livestock products,446,"China, Macao SAR",5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,3505,E,Estimated value,
QCL,Crops and livestock products,156,"China, mainland",5111,Stocks,02111,Cattle,2024,2024,An,70325500,E,Estimated value,
QCL,Crops and livestock products,156,"China, mainland",5111,Stocks,02123,Goats,2024,2024,An,117554000,A,Official value,
QCL,Crops and livestock products,156,"China, mainland",5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,3356539,E,Estimated value,
QCL,Crops and livestock products,156,"China, mainland",5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,11865177,I,Value imputed by a receiving agency,
